                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.1368,                0.67007,                0.95006,                0.84311,                0.75106,                0.83731,                0.53535,                 1.4835,                0.81182,                 1.1192,               0.003268,               0.003268,               0.003268
                    138,                 1.1303,                0.65928,                 0.9412,                0.81773,                 0.7774,                0.83014,                 0.5278,                 1.5142,                0.82254,                 1.1321,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1326,                0.65701,                0.95014,                0.86014,                0.76756,                0.83715,                0.52102,                 1.4881,                0.81203,                 1.1279,               0.003169,               0.003169,               0.003169
                    140,                 1.1248,                0.65936,                0.94494,                0.85843,                 0.7673,                0.84105,                0.54237,                  1.474,                0.80222,                 1.1177,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1244,                 0.6563,                0.94728,                0.89935,                0.74213,                0.84969,                0.55442,                 1.4751,                0.82005,                  1.117,                0.00307,                0.00307,                0.00307
                    142,                 1.1265,                0.65218,                0.94698,                0.90907,                0.72201,                0.84422,                0.55346,                 1.4541,                0.81205,                 1.1138,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1111,                0.64109,                0.93678,                0.88058,                0.75484,                 0.8488,                0.54781,                 1.4476,                0.79477,                 1.1101,               0.002971,               0.002971,               0.002971
                    144,                 1.1039,                0.63756,                0.93808,                0.90853,                0.73589,                0.84608,                0.55783,                 1.4612,                0.81288,                 1.1135,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1101,                0.63597,                0.93834,                0.90646,                0.74572,                0.84924,                0.56677,                 1.4394,                0.80099,                 1.1091,               0.002872,               0.002872,               0.002872
                    146,                 1.1033,                0.63754,                 0.9418,                0.85325,                0.77613,                0.85026,                0.56415,                 1.4412,                0.80522,                 1.1102,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0954,                0.62796,                0.94043,                0.88686,                0.75486,                0.84811,                0.58114,                 1.4266,                0.80071,                 1.1068,               0.002773,               0.002773,               0.002773
                    148,                 1.0934,                0.62814,                0.93123,                0.90998,                0.76032,                0.85327,                0.58323,                 1.4159,                0.79266,                 1.1042,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0928,                0.63416,                0.93639,                0.91003,                0.76283,                0.86102,                0.57908,                 1.4117,                0.78236,                 1.0989,               0.002674,               0.002674,               0.002674
                    150,                   1.08,                 0.6172,                0.92894,                 0.8983,                0.76775,                0.85333,                0.57485,                 1.4038,                0.79146,                 1.0932,              0.0026245,              0.0026245,              0.0026245
